,umap1,umap2
TCGA-14-2554,7.724571,9.851946
TCGA-14-4157,4.39432,12.249205
TCGA-15-0742,5.501686,10.140195
TCGA-16-0846,7.638529,10.166827
TCGA-16-0848,8.052989,11.489159
TCGA-16-0861,4.5911183,11.963183
TCGA-16-1045,5.6682153,12.3323965
TCGA-16-1048,6.163145,9.685496
TCGA-19-1390,0.5306349,11.162052
TCGA-19-1787,0.47522268,14.268846
TCGA-19-2619,4.722645,13.143958
TCGA-19-2620,8.15163,12.048604
TCGA-19-2623,5.0387797,12.259099
TCGA-19-2624,4.99709,13.420742
TCGA-19-2625,5.748995,11.197962
TCGA-19-2629,5.1871915,12.410509
TCGA-19-2631,5.424523,10.03691
TCGA-19-4065,5.521871,11.909313
TCGA-19-5947,5.0978556,11.598352
TCGA-19-5950,8.095749,9.705493
TCGA-19-5951,7.8204446,9.3979435
TCGA-19-5952,4.704045,12.822048
TCGA-19-5953,7.914204,11.5473
TCGA-19-5954,5.622337,9.956724
TCGA-19-5955,7.754766,11.558184
TCGA-19-5956,4.3246384,11.439129
TCGA-19-5958,6.1851344,9.718547
TCGA-19-5959,7.6543045,10.293282
TCGA-19-5960,5.2418733,11.526772
TCGA-19-A60I,5.642402,13.395673
TCGA-19-A6J4,4.918472,11.437708
TCGA-19-A6J5,5.0049887,13.062699
TCGA-26-1439,5.722052,12.264748
TCGA-26-1442,0.008743423,13.449723
TCGA-26-5132,5.514236,13.325592
TCGA-26-5133,1.5788441,12.496025
TCGA-26-5134,3.9119368,11.882985
TCGA-26-5135,4.8957434,13.477636
TCGA-26-5136,5.461782,13.3287735
TCGA-26-5139,8.005757,11.954451
TCGA-26-6173,5.876699,10.985778
TCGA-26-6174,5.055692,12.936419
TCGA-26-A7UX,4.951894,13.301493
TCGA-27-1830,5.8000464,12.579233
TCGA-27-1831,4.902702,13.340954
TCGA-27-1832,5.093942,11.475493
TCGA-27-1833,7.9781933,9.431938
TCGA-27-1834,5.3172,12.505468
TCGA-27-1835,5.32424,9.970628
TCGA-27-1836,-0.25264123,12.614775
TCGA-27-1837,4.6193304,13.609957
TCGA-27-1838,5.0496264,13.386561
TCGA-27-2518,8.272254,11.628237
TCGA-27-2519,5.1397114,10.511908
TCGA-27-2521,6.9744983,9.846628
TCGA-27-2523,5.8057756,9.8483715
TCGA-27-2524,7.7554517,11.535025
TCGA-27-2526,5.802147,9.757789
TCGA-27-2527,4.205697,11.731565
TCGA-27-2528,7.895423,9.442683
TCGA-28-1747,4.6232243,13.363043
TCGA-28-1753,8.127588,11.714338
TCGA-28-2501,8.126868,11.808414
TCGA-28-2502,7.8639445,11.911102
TCGA-28-2509,5.9379992,11.534481
TCGA-28-2510,4.8620105,12.4352455
TCGA-28-2513,8.0354185,9.417966
TCGA-28-2514,5.137177,11.647832
TCGA-28-5204,4.736153,12.966102
TCGA-28-5207,4.6295156,12.176627
TCGA-28-5208,8.241244,11.939868
TCGA-28-5209,8.170642,11.681696
TCGA-28-5211,4.8318186,13.482849
TCGA-28-5213,4.6301656,11.895616
TCGA-28-5214,8.070956,9.917441
TCGA-28-5215,5.6413374,12.4210615
TCGA-28-5216,7.323781,11.308873
TCGA-28-5218,7.4013195,9.862883
TCGA-28-5219,5.429993,12.567011
TCGA-28-5220,4.924941,11.54598
TCGA-28-6450,8.001516,9.688998
TCGA-32-1970,6.4198756,11.512805
TCGA-32-1977,8.067896,9.446027
TCGA-32-1979,7.659477,9.846767
TCGA-32-1980,5.0518956,11.227552
TCGA-32-1982,8.236756,11.861311
TCGA-32-1986,5.5594206,13.213881
TCGA-32-1991,4.8931594,13.1785145
TCGA-32-2491,5.7419395,10.269409
TCGA-32-2494,4.8335247,13.513557
TCGA-32-2495,8.254301,9.412816
TCGA-32-2615,4.8222547,10.666241
TCGA-32-2616,4.5042906,12.93225
TCGA-32-2632,7.781892,10.062799
TCGA-32-2634,4.471088,10.990239
TCGA-32-2638,7.9705215,9.535173
TCGA-32-4208,-0.41324955,11.706373
TCGA-32-4210,6.090557,11.411847
TCGA-32-4211,6.4316373,12.090197
TCGA-32-4213,3.9471612,13.023651
TCGA-32-4719,5.7479916,12.455302
TCGA-32-5222,7.375956,10.139412
TCGA-41-2571,5.8682876,10.048623
TCGA-41-2572,7.929343,9.494889
TCGA-41-2573,5.1898127,12.76958
TCGA-41-2575,5.2357545,10.227419
TCGA-41-3392,4.5904245,12.179911
TCGA-41-3393,8.157658,9.516316
TCGA-41-3915,7.4103537,11.433103
TCGA-41-4097,5.041582,11.548654
TCGA-41-5651,6.333612,10.45827
TCGA-41-6646,5.4630456,10.081421
TCGA-4W-AA9R,7.8542156,11.579
TCGA-4W-AA9S,8.115357,9.883391
TCGA-4W-AA9T,8.123204,11.644044
TCGA-74-6573,5.181039,12.101869
TCGA-74-6575,5.330202,9.965012
TCGA-74-6577,4.8452315,13.344649
TCGA-74-6578,7.741665,11.19193
TCGA-74-6581,5.475535,9.951379
TCGA-74-6584,6.2848086,11.324964
TCGA-76-4925,5.541232,9.9935
TCGA-76-4926,5.3385587,13.226193
TCGA-76-4928,4.6096644,11.84098
TCGA-76-4929,5.044366,10.619938
TCGA-76-4931,4.83221,13.118377
TCGA-76-4934,6.303792,11.31193
TCGA-76-4935,5.1845884,12.8993435
TCGA-76-6191,4.980277,12.731891
TCGA-76-6192,4.733377,13.24306
TCGA-76-6193,3.6561804,12.235127
TCGA-76-6280,8.199512,9.414108
TCGA-76-6282,4.6643543,11.999001
TCGA-76-6283,6.1095533,10.942083
TCGA-76-6285,4.927407,12.366226
TCGA-76-6286,5.8053355,12.668531
TCGA-76-6656,8.13285,9.3798685
TCGA-76-6657,5.6071653,9.952273
TCGA-76-6660,4.863157,12.816207
TCGA-76-6661,7.78981,10.206016
TCGA-76-6662,4.9862723,13.412999
TCGA-76-6663,8.099762,11.795288
TCGA-76-6664,6.1155105,9.728265
TCGA-81-5910,5.3130236,13.200817
TCGA-81-5911,8.199171,11.796782
TCGA-87-5896,8.073601,11.9639225
TCGA-CS-4938,0.03822033,13.254618
