,umap1,umap2
TCGA-P5-A5EZ,3.6431298,12.262179
TCGA-P5-A5F0,-2.625071,7.0059257
TCGA-P5-A5F1,-0.232656,13.502772
TCGA-P5-A5F2,-0.8792401,11.611132
TCGA-P5-A5F4,0.12423163,11.941075
TCGA-P5-A72U,8.128747,11.978125
TCGA-P5-A72W,0.4619963,11.884525
TCGA-P5-A72X,0.6274766,12.11499
TCGA-P5-A72Z,-2.8723762,7.3769994
TCGA-P5-A730,-3.4033017,6.9845304
TCGA-P5-A731,-0.28274342,14.018159
TCGA-P5-A733,-0.33151138,13.449455
TCGA-P5-A735,-0.32186753,13.10026
TCGA-P5-A736,0.3066216,13.900605
TCGA-P5-A737,-0.9363162,8.2601
TCGA-P5-A77W,-0.8307938,7.4830847
TCGA-P5-A77X,-2.931781,7.4539576
TCGA-P5-A780,-0.39685747,12.733013
TCGA-P5-A781,-3.356419,7.6148705
TCGA-QH-A65R,-3.0099807,7.497088
TCGA-QH-A65S,0.3761848,13.007507
TCGA-QH-A65V,-3.2573426,7.304244
TCGA-QH-A65X,-1.9336708,6.988948
TCGA-QH-A65Z,-2.3794694,8.180818
TCGA-QH-A6CS,5.1500816,11.495939
TCGA-QH-A6CU,-2.8053741,7.0818744
TCGA-QH-A6CV,7.389742,10.137735
TCGA-QH-A6CW,-1.0123135,13.34022
TCGA-QH-A6CX,5.087683,12.151921
TCGA-QH-A6CY,-2.3523986,8.289533
TCGA-QH-A6CZ,-2.0531557,7.0335393
TCGA-QH-A6X3,-0.26370355,13.370544
TCGA-QH-A6X4,-1.3025113,8.0351515
TCGA-QH-A6X5,-3.2772672,7.6419377
TCGA-QH-A6X8,-2.18086,7.8739233
TCGA-QH-A6X9,0.43362918,13.783182
TCGA-QH-A6XA,-0.23967326,13.197677
TCGA-QH-A6XC,7.9893365,9.71558
TCGA-QH-A86X,-3.6810288,6.948614
TCGA-QH-A870,-0.96702105,12.3615
TCGA-R8-A6MK,-3.1468108,7.7483115
TCGA-R8-A6ML,-3.4760988,6.615946
TCGA-R8-A6MO,-3.2544196,7.581768
TCGA-R8-A6YH,-0.6528956,12.527581
TCGA-R8-A73M,-3.4390674,6.549873
TCGA-RR-A6KA,7.8051963,9.553212
TCGA-RR-A6KB,4.1279445,12.975121
TCGA-RR-A6KC,8.026157,9.65309
TCGA-RY-A83X,-2.3081145,7.6503606
TCGA-RY-A83Y,-3.1710458,7.6262703
TCGA-RY-A83Z,1.4235421,12.440782
TCGA-RY-A840,-3.00039,7.8526187
TCGA-RY-A843,-0.53026444,12.906622
TCGA-RY-A845,0.42627683,14.017205
TCGA-RY-A847,-2.4655976,8.175865
TCGA-S9-A6TS,4.015942,11.269128
TCGA-S9-A6TU,-0.6251902,13.048276
TCGA-S9-A6TV,0.45863593,12.094087
TCGA-S9-A6TW,-1.6536222,7.0825014
TCGA-S9-A6TX,-2.8892546,7.55199
TCGA-S9-A6TY,-1.882663,6.7956924
TCGA-S9-A6TZ,-0.9214009,11.870243
TCGA-S9-A6U0,4.9999986,13.266452
TCGA-S9-A6U1,0.66605806,12.219856
TCGA-S9-A6U2,-2.174042,7.6118894
TCGA-S9-A6U5,-3.370776,7.6228704
TCGA-S9-A6U6,-0.76097655,12.554931
TCGA-S9-A6U8,-0.52986515,12.967183
TCGA-S9-A6U9,-0.91119915,12.695861
TCGA-S9-A6UB,-3.3043716,7.7264085
TCGA-S9-A6WD,-1.4288402,7.1507826
TCGA-S9-A6WE,-3.4924095,6.5731087
TCGA-S9-A6WG,-0.46199423,13.148382
TCGA-S9-A6WH,-1.7465396,7.0082464
TCGA-S9-A6WL,-0.7449274,8.111574
TCGA-S9-A6WM,6.5420055,11.199296
TCGA-S9-A6WN,-2.8587685,7.6038046
TCGA-S9-A6WO,-0.060480703,14.204267
TCGA-S9-A6WP,-1.2921973,8.15384
TCGA-S9-A6WQ,0.46595952,11.760191
TCGA-S9-A7IQ,-2.668509,7.0013742
TCGA-S9-A7IS,-0.5329212,12.846804
TCGA-S9-A7IX,4.3941226,11.647347
TCGA-S9-A7IY,-0.83775264,8.084772
TCGA-S9-A7IZ,0.560915,14.111143
TCGA-S9-A7J0,4.74144,12.90152
TCGA-S9-A7J1,-3.2429287,7.672965
TCGA-S9-A7J2,-3.2120628,7.8200912
TCGA-S9-A7J3,-2.43738,8.177681
TCGA-S9-A7QW,-0.18877402,14.015501
TCGA-S9-A7QX,0.45711723,12.053751
TCGA-S9-A7QY,-1.7119104,6.9830422
TCGA-S9-A7QZ,-2.2377398,7.654566
TCGA-S9-A7R1,-2.965414,7.105213
TCGA-S9-A7R2,4.473605,12.125095
TCGA-S9-A7R3,-0.85332835,12.546757
TCGA-S9-A7R4,0.64068747,12.150914
TCGA-S9-A7R7,0.71053314,12.12348
TCGA-S9-A7R8,-0.7806076,11.774931
TCGA-S9-A89Z,0.42483696,12.981657
TCGA-TM-A7C3,7.7247505,10.164144
TCGA-TM-A7C4,-0.049869977,13.316872
TCGA-TM-A7C5,-0.84537864,7.4477205
TCGA-TM-A7CA,0.28395617,14.109432
TCGA-TM-A7CF,-0.43786436,12.777434
TCGA-TM-A84B,5.6949277,13.179774
TCGA-TM-A84F,-0.504083,13.018061
TCGA-TM-A84G,-3.4572473,6.5621533
TCGA-TM-A84H,0.26457438,14.156093
TCGA-TM-A84I,1.5975977,12.279578
TCGA-TM-A84L,-0.6759395,13.156143
TCGA-TM-A84M,-2.6988,6.948262
TCGA-TM-A84O,-3.3068871,7.622796
TCGA-TM-A84Q,-1.0584307,11.422641
TCGA-TM-A84R,-1.3245518,8.395699
TCGA-TM-A84S,-2.368573,8.1903105
TCGA-TM-A84T,-0.40448254,13.06156
TCGA-TQ-A7RF,-0.9856646,11.805792
TCGA-TQ-A7RG,-3.4924304,7.509162
TCGA-TQ-A7RH,-0.118720986,14.29491
TCGA-TQ-A7RI,-2.636771,7.003745
TCGA-TQ-A7RJ,-0.30369216,13.507702
TCGA-TQ-A7RK,-0.76390195,13.056109
TCGA-TQ-A7RM,5.0221386,13.459712
TCGA-TQ-A7RN,-2.0058541,6.9925127
TCGA-TQ-A7RO,-0.8720625,7.4880347
TCGA-TQ-A7RP,8.16442,11.591591
TCGA-TQ-A7RQ,-3.13628,7.1309752
TCGA-TQ-A7RR,0.67725354,11.993791
TCGA-TQ-A7RS,-3.2755008,6.9684267
TCGA-TQ-A7RU,-0.8378374,8.08122
TCGA-TQ-A7RV,-0.91344035,13.379452
TCGA-TQ-A7RW,-0.81049323,11.458962
TCGA-TQ-A8XE,-0.8783865,11.625807
TCGA-VM-A8C8,-0.023926418,12.281369
TCGA-VM-A8CA,-1.7262834,6.9102526
TCGA-VM-A8CB,-2.894643,7.3680434
TCGA-VM-A8CE,-3.2214565,7.587878
TCGA-VM-A8CF,-0.33995125,12.277592
TCGA-VM-A8CH,-0.7954715,12.988439
TCGA-VV-A829,-2.9552279,7.6020837
TCGA-VV-A86M,-0.8137166,12.606872
TCGA-VW-A7QS,-2.9516907,7.104918
TCGA-VW-A8FI,4.982715,13.284728
TCGA-W9-A837,-2.4315252,7.7804155
TCGA-WH-A86K,0.7968573,12.331278
TCGA-WY-A858,-0.664683,11.947552
TCGA-WY-A859,0.7999715,12.071753
TCGA-WY-A85A,-0.3945081,12.883515
TCGA-WY-A85B,0.31373277,11.958431
TCGA-WY-A85C,-0.5442473,13.240878
TCGA-WY-A85D,-0.39700913,12.883612
TCGA-WY-A85E,0.19093269,14.0155735
