,10p,10q,11p,11q,12p,12q,13q,14q,15q,16p,16q,17p,17q,18p,18q,19p,19q,1p,1q,20p,20q,21q,22q,2p,2q,3p,3q,4p,4q,5p,5q,6p,6q,7p,7q,8p,8q,9p,9q
TCGA-DH-A66B,0.0,-0.24315068493150685,0.0,-0.0011961722488038277,0.0,-0.9893758300132802,-0.0029585798816568047,-0.0015408320493066256,-0.006633499170812604,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-0.0010224948875255625,0.0,0.0,-0.8811881188118812,0.0,0.0,-0.7705128205128206,-0.0019880715705765406,-0.001763668430335097,0.0,-0.9323017408123792,-0.006711409395973154,-0.708843537414966,0.0,-0.986013986013986,-0.006578947368421052,-0.9967689822294022,-0.7730769230769231,0.0,0.0,-0.08747855917667238
TCGA-DH-A66D,0.0,-0.24143835616438356,-0.7534246575342466,-0.0035885167464114833,0.0,0.0,-0.9940828402366864,0.0,-0.003316749585406302,0.0,-0.0026954177897574125,0.0,0.0,0.0,0.0,0.0,-0.9881376037959668,0.0,-0.0010224948875255625,0.0,0.0,0.0,0.0,0.0,0.0,-0.9860834990059643,0.0,0.0,0.0,-1.0,-1.0,0.0,-0.002331002331002331,0.0,-0.0016155088852988692,0.0,0.0,0.0,-0.0017152658662092624
TCGA-DH-A66F,0.0,0.0,0.0,-0.0023923444976076554,0.0,0.0,-0.9940828402366864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033112582781456954,-0.9988137603795967,-0.9953488372093023,-0.0010224948875255625,0.0,-0.002702702702702703,0.0,-0.0021413276231263384,0.0,0.0,-0.0019880715705765406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-DH-A66G,0.0,-0.0017123287671232876,-0.8401826484018264,-0.0023923444976076554,0.0,-0.4847277556440903,-0.0029585798816568047,0.0,0.0,0.0,-0.0026954177897574125,0.0,0.0,0.0,0.0,0.0,-0.9893238434163701,0.0,-0.0010224948875255625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001763668430335097,-0.9953703703703703,-1.0,-1.0,-1.0,-0.3936348408710218,0.0,-0.003289473684210526,-0.004846526655896607,0.0,0.0,0.0,0.0
TCGA-DH-A7UR,0.0,0.0,0.0,0.0,0.0,-0.0013280212483399733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033112582781456954,-0.9988137603795967,-0.9953488372093023,0.0,0.0,-0.002702702702702703,0.0,0.0,0.0,-0.9987179487179487,-0.0019880715705765406,-0.001763668430335097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.022298456260720412
TCGA-DH-A7US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033112582781456954,-0.9988137603795967,-0.998139534883721,-0.05930470347648262,0.0,-0.002702702702702703,0.0,0.0,0.0,0.0,-0.0019880715705765406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-DH-A7UT,0.0,0.0,-0.9954337899543378,0.0,0.0,-0.0013280212483399733,0.0,0.0,-0.9983416252072969,0.0,0.0,0.0,0.0,0.0,-0.8446601941747572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9351851851851852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004830917874396135,0.0,0.0
TCGA-DH-A7UU,0.0,-0.9982876712328768,-0.9657534246575342,-0.0023923444976076554,0.0,0.0,-0.9970414201183432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002044989775051125,0.0,0.0,0.0,0.0,0.0,-0.011538461538461539,0.0,-0.13227513227513227,-0.004629629629629629,0.0,-0.006711409395973154,-0.47346938775510206,0.0,0.0,0.0,-0.0016155088852988692,0.0,-0.21980676328502416,0.0,0.0
TCGA-DH-A7UV,0.0,-0.0017123287671232876,-0.00228310502283105,0.0,0.0,0.0,0.0,0.0,0.0,-0.002232142857142857,0.0,0.0,0.0,-0.014285714285714285,-0.22815533980582525,0.0,0.0,0.0,-0.0010224948875255625,0.0,-0.10810810810810811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16247582205029013,0.0,0.0,0.0,0.0,0.0,-0.0016155088852988692,0.0,0.0,0.0,0.0
TCGA-DU-5847,-1.0,-0.9982876712328768,0.0,-0.0035885167464114833,0.0,0.0,-1.0,-1.0,0.0,-0.45982142857142855,-0.921832884097035,0.0,-0.0036231884057971015,0.0,0.0,0.0,-0.0011862396204033216,0.0,-0.002044989775051125,0.0,0.0,0.0,-1.0,0.0,0.0,-0.0019880715705765406,0.0,-0.004629629629629629,-0.005802707930367505,0.0,0.0,-0.06532663316582915,-0.9976689976689976,0.0,-0.0032310177705977385,-0.33076923076923076,0.0,-0.5642201834862385,-0.0017152658662092624
